country_code,Year,Total_AI_Investment_USD(MM),GDP_USD(MM),AI_Adoption_Rate,Company,AI_Investment_USD(MM),Return_from_AI_USD(MM),Industry_Code
USA,2020,15600,21433225,0.42,Microsoft,980,1470,TECH
USA,2020,15600,21433225,0.42,Google,910,1365,TECH
USA,2020,15600,21433225,0.42,Amazon,860,1204,TECH
USA,2020,15600,21433225,0.42,Apple,790,1106,TECH
USA,2020,15600,21433225,0.42,Facebook,720,1008,TECH
USA,2020,15600,21433225,0.42,JP Morgan,650,845,FIN
USA,2020,15600,21433225,0.42,IBM,620,806,TECH
USA,2020,15600,21433225,0.42,Intel,590,767,TECH
USA,2020,15600,21433225,0.42,Salesforce,560,728,TECH
USA,2020,15600,21433225,0.42,Nvidia,520,780,TECH
USA,2021,19500,22996100,0.47,Microsoft,1250,1875,TECH
USA,2021,19500,22996100,0.47,Google,1180,1770,TECH
USA,2021,19500,22996100,0.47,Amazon,1120,1568,TECH
USA,2021,19500,22996100,0.47,Apple,1050,1470,TECH
USA,2021,19500,22996100,0.47,Facebook,980,1372,TECH
USA,2021,19500,22996100,0.47,JP Morgan,890,1157,FIN
USA,2021,19500,22996100,0.47,IBM,840,1092,TECH
USA,2021,19500,22996100,0.47,Intel,790,1027,TECH
USA,2021,19500,22996100,0.47,Salesforce,750,975,TECH
USA,2021,19500,22996100,0.47,Nvidia,710,1065,TECH
USA,2022,24375,25035164,0.53,Microsoft,1560,1950,TECH
USA,2022,24375,25035164,0.53,Google,1480,1850,TECH
USA,2022,24375,25035164,0.53,Amazon,1410,1763,TECH
USA,2022,24375,25035164,0.53,Apple,1340,1675,TECH
USA,2022,24375,25035164,0.53,Meta,1270,1651,TECH
USA,2022,24375,25035164,0.53,JP Morgan,1150,1495,FIN
USA,2022,24375,25035164,0.53,IBM,1090,1417,TECH
USA,2022,24375,25035164,0.53,Intel,1030,1339,TECH
USA,2022,24375,25035164,0.53,Salesforce,980,1274,TECH
USA,2022,24375,25035164,0.53,Nvidia,940,1410,TECH
USA,2023,30469,27088242,0.59,Microsoft,1950,2925,TECH
USA,2023,30469,27088242,0.59,Google,1850,2775,TECH
USA,2023,30469,27088242,0.59,Amazon,1760,2200,TECH
USA,2023,30469,27088242,0.59,Apple,1680,2352,TECH
USA,2023,30469,27088242,0.59,Meta,1590,2067,TECH
USA,2023,30469,27088242,0.59,JP Morgan,1440,1872,FIN
USA,2023,30469,27088242,0.59,IBM,1360,1768,TECH
USA,2023,30469,27088242,0.59,Intel,1290,1677,TECH
USA,2023,30469,27088242,0.59,Salesforce,1230,1599,TECH
USA,2023,30469,27088242,0.59,Nvidia,1180,1770,TECH
USA,2024,38086,28982618,0.65,Microsoft,2440,3660,TECH
USA,2024,38086,28982618,0.65,Google,2310,3465,TECH
USA,2024,38086,28982618,0.65,Amazon,2200,2750,TECH
USA,2024,38086,28982618,0.65,Apple,2100,2940,TECH
USA,2024,38086,28982618,0.65,Meta,1990,2587,TECH
USA,2024,38086,28982618,0.65,JP Morgan,1800,2340,FIN
USA,2024,38086,28982618,0.65,IBM,1700,2210,TECH
USA,2024,38086,28982618,0.65,Intel,1610,2093,TECH
USA,2024,38086,28982618,0.65,Salesforce,1530,1989,TECH
USA,2024,38086,28982618,0.65,Nvidia,1480,2220,TECH
CHN,2020,8900,14722731,0.36,Alibaba,720,936,TECH
CHN,2020,8900,14722731,0.36,Tencent,680,884,TECH
CHN,2020,8900,14722731,0.36,Baidu,640,768,TECH
CHN,2020,8900,14722731,0.36,Huawei,600,780,TECH
CHN,2020,8900,14722731,0.36,Ping An,560,644,FIN
CHN,2020,8900,14722731,0.36,China Mobile,520,624,TELE
CHN,2020,8900,14722731,0.36,JD.com,490,588,TECH
CHN,2020,8900,14722731,0.36,ByteDance,460,598,TECH
CHN,2020,8900,14722731,0.36,ICBC,430,516,FIN
CHN,2020,8900,14722731,0.36,Xiaomi,410,492,TECH
CHN,2021,11125,16862754,0.40,Alibaba,890,1157,TECH
CHN,2021,11125,16862754,0.40,Tencent,840,1092,TECH
CHN,2021,11125,16862754,0.40,Baidu,790,948,TECH
CHN,2021,11125,16862754,0.40,Huawei,750,975,TECH
CHN,2021,11125,16862754,0.40,Ping An,700,805,FIN
CHN,2021,11125,16862754,0.40,China Mobile,650,780,TELE
CHN,2021,11125,16862754,0.40,JD.com,610,732,TECH
CHN,2021,11125,16862754,0.40,ByteDance,580,754,TECH
CHN,2021,11125,16862754,0.40,ICBC,540,648,FIN
CHN,2021,11125,16862754,0.40,Xiaomi,510,612,TECH
CHN,2022,13906,17963250,0.45,Alibaba,1110,1443,TECH
CHN,2022,13906,17963250,0.45,Tencent,1050,1365,TECH
CHN,2022,13906,17963250,0.45,Baidu,990,1188,TECH
CHN,2022,13906,17963250,0.45,Huawei,940,1222,TECH
CHN,2022,13906,17963250,0.45,Ping An,870,1001,FIN
CHN,2022,13906,17963250,0.45,China Mobile,810,972,TELE
CHN,2022,13906,17963250,0.45,JD.com,760,912,TECH
CHN,2022,13906,17963250,0.45,ByteDance,720,936,TECH
CHN,2022,13906,17963250,0.45,ICBC,670,804,FIN
CHN,2022,13906,17963250,0.45,Xiaomi,640,768,TECH
CHN,2023,17383,18805000,0.51,Alibaba,1390,1807,TECH
CHN,2023,17383,18805000,0.51,Tencent,1310,1703,TECH
CHN,2023,17383,18805000,0.51,Baidu,1240,1488,TECH
CHN,2023,17383,18805000,0.51,Huawei,1170,1521,TECH
CHN,2023,17383,18805000,0.51,Ping An,1090,1254,FIN
CHN,2023,17383,18805000,0.51,China Mobile,1010,1212,TELE
CHN,2023,17383,18805000,0.51,JD.com,950,1140,TECH
CHN,2023,17383,18805000,0.51,ByteDance,900,1170,TECH
CHN,2023,17383,18805000,0.51,ICBC,840,1008,FIN
CHN,2023,17383,18805000,0.51,Xiaomi,800,960,TECH
CHN,2024,21729,19934300,0.56,Alibaba,1740,2262,TECH
CHN,2024,21729,19934300,0.56,Tencent,1640,2132,TECH
CHN,2024,21729,19934300,0.56,Baidu,1550,1860,TECH
CHN,2024,21729,19934300,0.56,Huawei,1470,1911,TECH
CHN,2024,21729,19934300,0.56,Ping An,1360,1564,FIN
CHN,2024,21729,19934300,0.56,China Mobile,1260,1512,TELE
CHN,2024,21729,19934300,0.56,JD.com,1190,1428,TECH
CHN,2024,21729,19934300,0.56,ByteDance,1130,1469,TECH
CHN,2024,21729,19934300,0.56,ICBC,1050,1260,FIN
CHN,2024,21729,19934300,0.56,Xiaomi,1000,1200,TECH
DEU,2020,4200,3846414,0.31,SAP,360,504,TECH
DEU,2020,4200,3846414,0.31,Siemens,340,476,MFG
DEU,2020,4200,3846414,0.31,BMW,320,416,AUTO
DEU,2020,4200,3846414,0.31,Deutsche Bank,300,390,FIN
DEU,2020,4200,3846414,0.31,Bayer,280,336,PHARM
DEU,2020,4200,3846414,0.31,Volkswagen,260,338,AUTO
DEU,2020,4200,3846414,0.31,Daimler,240,312,AUTO
DEU,2020,4200,3846414,0.31,Deutsche Telekom,220,264,TELE
DEU,2020,4200,3846414,0.31,Allianz,200,240,FIN
DEU,2020,4200,3846414,0.31,BASF,180,216,CHEM
DEU,2021,5250,4223116,0.35,SAP,450,630,TECH
DEU,2021,5250,4223116,0.35,Siemens,420,588,MFG
DEU,2021,5250,4223116,0.35,BMW,400,520,AUTO
DEU,2021,5250,4223116,0.35,Deutsche Bank,380,494,FIN
DEU,2021,5250,4223116,0.35,Bayer,350,420,PHARM
DEU,2021,5250,4223116,0.35,Volkswagen,330,429,AUTO
DEU,2021,5250,4223116,0.35,Daimler,310,403,AUTO
DEU,2021,5250,4223116,0.35,Deutsche Telekom,290,348,TELE
DEU,2021,5250,4223116,0.35,Allianz,270,324,FIN
DEU,2021,5250,4223116,0.35,BASF,250,300,CHEM
DEU,2022,6563,4072192,0.39,SAP,560,784,TECH
DEU,2022,6563,4072192,0.39,Siemens,530,742,MFG
DEU,2022,6563,4072192,0.39,BMW,500,650,AUTO
DEU,2022,6563,4072192,0.39,Deutsche Bank,470,611,FIN
DEU,2022,6563,4072192,0.39,Bayer,440,528,PHARM
DEU,2022,6563,4072192,0.39,Volkswagen,410,533,AUTO
DEU,2022,6563,4072192,0.39,Daimler,380,494,AUTO
DEU,2022,6563,4072192,0.39,Deutsche Telekom,360,432,TELE
DEU,2022,6563,4072192,0.39,Allianz,340,408,FIN
DEU,2022,6563,4072192,0.39,BASF,320,384,CHEM
DEU,2023,8203,4456434,0.44,SAP,700,980,TECH
DEU,2023,8203,4456434,0.44,Siemens,660,924,MFG
DEU,2023,8203,4456434,0.44,BMW,630,819,AUTO
DEU,2023,8203,4456434,0.44,Deutsche Bank,590,767,FIN
DEU,2023,8203,4456434,0.44,Bayer,550,660,PHARM
DEU,2023,8203,4456434,0.44,Volkswagen,520,676,AUTO
